"RTL_STORE_CD","RTL_FIPS_COUNTY_CD","STATE_CD","RTL_FIPS_COUNTY_DSC","CUSTCOL_57","RTL_CITY_DSC","RTL_PREMISE_TYPE_CD","RTL_PREMISE_TYPE_DSC","RTL_CHANNEL_CD","RTL_CHANNEL_DSC","RTL_SUBCHANNEL_CD","RTL_SUBCHANNEL_DSC","RTL_BEER_FLAG","RTL_LIQUOR_FLG","WJXBFS1"
"100490116","035","UT","SALT LAKE","49035","SANDY","OFF","OFF PREMISE","05","GROCERY","5","SUPERMARKET-CONVENTIONAL","Y","N",107.25
"102146472","053","UT","WASHINGTON","49053","ST GEORGE","ON","ON PREMISE","50","DINING","2","CASUAL DINING","Y","Y",5
"100635631","005","UT","CACHE","49005","LOGAN","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",26
"101972646","011","UT","DAVIS","49011","LAYTON","ON","ON PREMISE","55","CATERER","3","BANQUET HALL","Y","Y",24
"100447936","049","UT","UTAH","49049","OREM","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",224.0835
"101608486","057","UT","WEBER","49057","OGDEN","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",94
"101608579","045","UT","TOOELE","49045","TOOELE","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",61
"101673096","035","UT","SALT LAKE","49035","SALT LAKE CITY","ON","ON PREMISE","50","DINING","2","CASUAL DINING","Y","Y",13.6387
"105617874","035","UT","SALT LAKE","49035","SALT LAKE CITY","ON","ON PREMISE","51","BAR/NIGHTCLUB","2","CASUAL NIGHTCLUB","Y","Y",30
"100506954","043","UT","SUMMIT","49043","PARK CITY","OFF","OFF PREMISE","05","GROCERY","6","SUPERCENTER","Y","N",740.5001
"105603756","053","UT","WASHINGTON","49053","ST GEORGE","ON","ON PREMISE","50","DINING","2","CASUAL DINING","Y","Y",9
"102059126","011","UT","DAVIS","49011","SYRACUSE","OFF","OFF PREMISE","05","GROCERY","6","SUPERCENTER","Y","N",186.75
"107249019","035","UT","SALT LAKE","49035","SALT LAKE CITY","ON","ON PREMISE","50","DINING","2","CASUAL DINING","Y","Y",3
